основа	прил.	он	она	они	прим.
алма́з	-ский	-ец	-ка	-цы	Алма́з
алмалы́к	-ский	-ец	-ка	-цы	Алмалы́к
ална́ш	-ский	-ец	-ка	-цы	Ална́ши
алта́	-йский	-ец	-ка	-цы	Алта́й
алтыары́к	-ский	-ец	-ка	-цы	Алтыары́к
а́лукснен	-ский	-ец	-ка	-цы	Алуксне
алу́штин	-ский	-ец	-ка	-цы	Алу́шта
альба́н	-ский	-ец	-ка	-цы	Альба́но
альбасе́т	-ский	-ец	-ка	-цы	Альбасе́те
альбиго́	-йский	-ец	-йка	-йцы	Альби́
альбо́м	-ный	-ец		-цы	альбом
алька́идов	-ский	-ец	-ка	-цы	тер.орг. Аль-Ка́ида
а́лькам	-ский	-ец	-ка	-цы	А́лькамо
альпи́	-йский	-ец	-йка	-йцы	А́льпы
а̀льфа-сам	-цо́вый	-е́ц	-ка	-цы́	доминантное поведение
аля́скин	-ский	-ец	-ка	-цы	Аля́ска
амазо́н	-ский	-ец	-ка	-цы	Амазо́н
амальфи́	-йский	-ец	-йка	-йцы	Ама́льфи
амба́р	-ный	-ец		-цы	строение
америка́н	-ский	-ец	-ка	-цы	Америка / США
амка́ров	-ский	-ец	-ка	-цы	клуб Амка́р
амма́н	-ский	-ец	-ка	-цы	Амма́н
амри́тсар	-ский	-ец	-ка	-цы	Амри́тсар
амстерда́м	-ский	-ец	-ка	-цы	Амстерда́м
амударьи́н	-ский	-ец	-ка	-цы	Амударья́
аму́р	-ский	-ец	-ка	-цы	Аму́р / Аму́рск
амурзе́т	-ский	-ец	-ка	-цы	Амурзе́т
амурча́н	-ский	-ец	-ка	-цы	Аму́р
амше́н	-ский	-ец	-ка	-цы	субэтнос армян
амье́н	-ский	-ец	-ка	-цы	Амье́н
ана́ньев	-ский	-ец	-ка	-цы	Ана́ньев
анатоли́	-йский	-ец	-йка	-йцы	Анато́лия
анга́р	-ский	-ец	-ка	-цы	Анга́рск / Ангара́
ангарча́н	-ский	-ин	-ка	-цы	Анга́рск / Ангара́
анги́л	-ский	-ец	-ка	-цы	Анги́лья
англика́н	-ский	-ец	-ка	-цы	англика́нство
англосаксо́н	-ский	-ец	-ка	-цы	англоса́кс
анго́л	-ский	-ец	-ка	-цы	Анго́ла
анголе́з	-ский	-ец	-ка	-цы	Анго́ла
ангре́н	-ский	-ец	-ка	-цы	Ангре́н
а́нд	-ский	-ец	-ка	-цы	А́нды
андалу́з	-ский	-ец	-ка	-цы	Андалузия
андалу́с	-ский	-ец	-ка	-цы	Андалусия
андама́н	-ский	-ец	-ка	-цы	Андама́нские острова́
андеджа́н	-ский	-ец	-ка	-цы	Андеджа́н (Андижа́н)
андижа́н	-ский	-ец	-ка	-цы	Андижа́н
андорра́н	-ский	-ец	-ка	-цы	
антве́рпен	-ский	-ец	-ка	-цы	
антигуа́н	-ский	-ец	-ка	-цы	
аомы́н	-ский	-ец	-ка	-цы	
апала́чин	-ский	-ец	-ка	-цы	
апшеро́н	-ский	-ец	-ка	-цы	
арави́	-йский	-ец	-йка	-йцы	
араго́н	-ский	-ец	-ка	-цы	
аргенти́н	-ский	-ец	-ка	-цы	
аржа́н	-ский	-ец	-ка	-цы	
ари́	-йский	-ец	-йка	-йцы	
аризо́н	-ский	-ец	-ка	-цы	
арканза́с	-ский	-ец	-ка	-цы	
арлезиа́н	-ский	-ец	-ка	-цы	
ару́б	-ский	-ец	-ка	-цы	
ару́бан	-ский	-ец	-ка	-цы	
арха́нгел	-ьский	-ец	-ка	-ьцы	
архангелогоро́д	-ский	-ец	-ка	-цы	
арчи́н	-ский	-ец	-ка	-цы	
а́рчин	-ский	-ец	-ка	-цы	
астани́	-йский	-ец	-йка	-йцы	
астраха́н	-ский	-ец	-ка	-цы	
атама́н	-ский	-	-ша	-ы	
атама́н	-ский	-ец	-ка	-цы	
атама́нш	-ский		-а	-и	
афга́н	-ский	-ец	-ка	-цы	
афо́н	-ский	-ец	-ка	-цы	
африка́н	-ский	-ец	-ка	-цы	
афроамерика́н	-ский	-ец	-ка	-цы	
ахалтеки́н	-ский	-ец	-ка	-цы	
а́хен	-ский	-ец	-ка	-цы	
а́чин	-ский	-ец	-ка	-цы	
бава́р	-ский	-ец	-ка	-цы	
бага́м	-ский	-ец	-ка	-цы	
багря́н	-ский	-ец		-цы	цвет
ба́ден	-ский	-ец	-ка	-цы	
ба́денвю́ртемберг	-ский	-ец	-ка	-цы	
ба́кен	-ский	-ец		-цы	бак / буй
баки́н	-ский	-ец	-ка	-цы	
балаши́хин	-ский	-ец	-ка	-цы	
балка́н	-ский	-ец	-ка	-цы	
балка́р	-ский	-ец	-ка	-цы	
балти́	-йский	-ец	-йка	-йцы	
бан	-ский	-е́ц		-цы́	петля
ба́н	-ский	-ец		-цы	интернет бан
бангладе́ш	-ский	-ец	-ка	-цы	
бара́бин	-ский	-ец	-ка	-цы	
бара́н	-ский	-ец		-цы	животные
бара́н	-ский	-ец	-ка	-цы	пи́ща
барбадо́с	-ский	-ец	-ка	-цы	
барбизо́н	-ский	-ец	-ка	-цы	
барнау́л	-ьский	-ец	-ка	-ьцы	
баро́н	-ский	-ец	-ка	-цы	
барсело́н	-ский	-ец	-ка	-цы	
бахре́йн	-ский	-ец	-ка	-цы	
башкортоста́н	-ский	-ец	-ка	-цы	
бе́жен	-ский	-ец	-ка	-цы	
бе́лгород	-ский	-ец	-ка	-цы	
белгоро́дщин	-ский	-ец	-ка	-цы	
бели́з	-ский	-ец	-ка	-цы	
белого́р	-ский	-ец	-ка	-цы	
белоре́чен	-ский	-ец	-ка	-цы	
бельги́	-йский	-ец	-йка	-йцы	
бенедикти́н	-ский	-ец	-ка	-цы	
бени́н	-ский	-ец	-ка	-цы	
берли́н	-ский	-ец	-ка	-цы	
бе́рн	-ский	-ец	-ка	-цы	
бернарди́н	-ский	-ец	-ка	-цы	
бернштейниа́н	-ский	-ец	-ка	-цы	
би́рман	-ский	-ец	-ка	-цы	
биробиджа́н	-ский	-ец	-ка	-цы	
биса́у-гвине́	-йский	-ец	-йка	-йцы	
благове́щен	-ский	-ец	-ка	-цы	
благода́рнен	-ский	-ец	-ка	-цы	
близн	-е́цский	-е́ц	-яшка	-ецы	
блин	-ский	-е́ц		-цы́	пи́ща
бо́брин	-ский	-ец	-ка	-цы	
боготи́н	-ский	-ец	-ка	-цы	
бого́тин	-ский	-ец	-ка	-цы	
бодайби́н	-ский	-ец	-ка	-цы	
болга́р	-ский	-ин	-ка	-ы	
болга́р	-ский	-ец	-ка	-цы	
боливи́	-йский	-ец	-йка	-йцы	
боло́н	-ский	-ец	-ка	-цы	
бо́нн	-ский	-ец	-ка	-цы	
боровча́н	-ский	-ец	-ка	-цы	
босни́	-йский	-ец	-йка	-йцы	
бо́стон	-ский	-ец	-ка	-цы	
ботсва́н	-ский	-ец	-ка	-цы	
