континент	государство	граждане	гражданин	гражданка	столица	горожане	горожанин	горожанка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Мадагаска́р	мадагаска́рцы / малагасийцы	мадагаска́рец / малагасиец	мадагаска́рка / малагасийка	Антананари́ву	антананари́вцы	антананари́вец	антананари́вка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Мала́ви	малави́йцы	малави́ец	малави́йка	Лило́нгве	лило́нгвцы	лило́нгвец	лило́нгвка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Мали́	мали́йцы	мали́ец	мали́йка	Бамако́	бамако́вцы	бамако́вец	бамако́вка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Маро́кко	марокка́нцы	марокка́нец	марокка́нка	Раба́т	раба́тцы	раба́тец	раба́тка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Мозамби́к	мозамби́кцы	мозамби́кец	мозамби́йка	Мапу́ту	мапу́туйцы	мапу́туец	мапу́туйка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Нами́бия	намиби́йцы	намиби́ец	намиби́йка	Ви́ндхук	ви́ндхукцы	ви́ндхукнец	ви́ндхукка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Ниге́р	ниге́рцы	ниге́рец	ниге́рка	Ниаме́й	ниаме́йцы	ниаме́йец	ниаме́йка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Ниге́рия	нигери́йцы	нигери́ец	нигери́йка	Абу́джа	абу́джцы	абу́джец	абу́джайка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Респу́блика Ко́нго	конголе́зцы	конголе́зец	конголе́зка	Браззави́ль	браззави́льцы	браззави́лец	браззави́лька																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Руа́нда	руанди́йцы	руанди́ец	руанди́йка	Кига́ли	кига́льцы	кига́лец	кигали́йка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Сан-Томе́ и При́нсипи	сантоми́йцы	сантоми́ец	сантоми́йка	Сан-Томе́	сантоме́йцы	сантоме́ец	сантоме́йка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Саха́рская Ара́бская Демократи́ческая Респу́блика	саха́рцы	саха́рец	саха́рка	Тифа́рити	тифа́ритийцы	тифа́ритиец	тифа́ритийка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Сейше́льские Острова́ (Сейше́лы)	сейше́льцы	сейше́лец	сейше́лка	Викто́рия	викториа́нцы	викториа́нец	викториа́нка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Сенега́л	сенега́льцы	сенега́лец	сенега́лка	Дака́р	дака́рцы	дака́рец	дака́рка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Сомали́	сомали́йцы	сомали́ец	сомали́йка	Могади́шо	могади́шцы	могади́шец	могади́шка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Сомалиле́нд	сомалиле́ндцы	сомалиле́ндец	сомалиле́ндка	Харге́йса	харге́йсцы	харге́йсец	харге́йска																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Суда́н	суда́нцы	суда́нец	суда́нка	Харту́м	харту́мцы	харту́мец	харту́мка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Суда́н / Ю́жный Суда́н	южносуда́нцы	южносуда́нец	южносуда́нка	Джу́ба	джуба́йцы	джуба́ец	джуба́йка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Сье́рра-Лео́не	сьерралео́нцы	сьерралео́нец	сьерралео́нка	Фри́таун	фрита́унцы	фрита́унец	фрита́унка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Танза́ния	танзани́йцы	танзани́ец	танзани́йка	Додо́ма	додо́мцы	додо́мец	додо́мка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	То́го	тоголе́зцы	тоголе́зец	тоголе́зка	Ломе́	ломе́йцы	ломе́ец	ломе́йка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Туни́с	туни́сцы	туни́сец	туни́ска	Туни́с	туни́сцы	туни́сец	туни́ска																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Уга́нда	уганди́йцы	уганди́ец	уганди́йка	Кампа́ла	кампа́лцы	кампа́лец	кампа́лка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Центральноафрика́нская Респу́блика	центральноафрика́нцы	центральноафрика́нец	центральноафрика́нка	Банги́	банги́йцы	банги́ец	банги́йка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Чад	ча́дцы	ча́дец	ча́дка	Нджаме́на	нджаме́нцы	нджаме́нец	нджаме́нка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Экваториа́льная Гвине́я	экваторогвине́йцы	экваторогвине́ец	экваторогвине́йка	Мала́бо	мала́бцы	мала́бец	мала́бка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Эритре́я	эритре́йцы	эритре́ец	эритре́йка	Асмэ́ра	асмэ́рцы	асмэ́рец	асмэ́рка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Эсвати́ни / Сва́зиле́нд	эсвати́нцы	эсвати́нец	эсвати́нка	Мбаба́не	мбаба́нцы	мбаба́нец	мбаба́нка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Эфио́пия	эфио́пы	эфио́п	эфио́пка	Адди́с-Абе́ба	аддисабе́бцы	аддисабе́бец	аддисабе́бка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Африка	Ю́жно-Африка́нская Респу́блика / ЮАР	южноафрика́нцы / юарцы	южноафрика́нец / юаровец	южноафрика́нка / юаровка	Прето́рия	прето́рцы	прето́рец	прето́рка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Евразия	Евразийский континент (Европа и Азия)	ерази́йцы	ерази́ец	еврази́йка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
Евразия / РФ Дальневосточный округ	Дальневосто́чный федера́льный о́круг (ДФО / ДВФО)	дальневосто́ченцы	дальневосто́ченец	дальневосто́ченка	Владивосто́к	владивосто́кцы	владивосто́кец / владивосто́ковец	владивосто́чка / владивосто́ковка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Евразия / РФ ДФО	Аму́рская о́бласть	амурча́не	амурча́нин	амурча́нка	Благове́щенск	благове́щенцы	благове́щенец	благове́щенка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Евразия / РФ ДФО	Буря́тия / Респу́блика Буря́тия	буря́ты	буря́т	буря́тка	Ула́н-Уде́	улануди́нцы	улануди́нец	улауди́нка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Евразия / РФ ДФО	Евре́йская автоно́мная о́бласть	евре́и	евре́й	евре́йка	Беробиджа́н	беробиджа́нцы	беробиджа́нец	беробиджа́нка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Евразия / РФ ДФО	Забайка́льский край	забайка́льцы	забайка́лец	забайка́лка	Чита́	чити́нцы	чити́нец	чити́нка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Евразия / РФ ДФО	Камча́тский край	камча́тцы / камча́товцы	камча́товец	камча́товка	Петропа́вловск-Камча́тский	петропа́вловсккамча́тцы	петропа́вловсккамча́тец	петропа́вловсккамча́тка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
